interval,architecture,arch_list,lambda,train_mae_pm,train_r2_pm,val_mae_pm,val_r2_pm,val_mae_winding,val_mae_tooth,val_mae_yoke,training_time_sec,timestamp
0.5,"Small [32, 16]","[32, 16]",0.0,0.0513100352882923,0.9999844524662154,0.0688768590500163,0.9999342656489644,0.047796255820265,0.0728840859325565,0.0622263777885398,1431.0897448062897,2025-10-26T19:39:24.038469
0.5,"Small [32, 16]","[32, 16]",0.0001,0.0961520331925044,0.999966256528265,0.0822976770479589,0.9999239565490476,0.0458186840675192,0.0665082485060755,0.0241930847516538,1375.5695497989657,2025-10-26T20:02:19.608019
0.5,"Small [32, 16]","[32, 16]",0.001,0.0707263860048838,0.9999726396070312,0.1294213123375815,0.9998699852076006,0.0579162025283495,0.0378503308819473,0.0738530932592099,1374.617861032486,2025-10-26T20:25:14.225880
0.5,"Small [32, 16]","[32, 16]",0.01,0.0560494190363821,0.9999832233507496,0.0666995177077243,0.9999338127033058,0.0806244395671263,0.0505867258508185,0.044635444768534,1291.984795808792,2025-10-26T21:07:26.706077
0.5,"Small [32, 16]","[32, 16]",0.1,0.049659275021481,0.9999846016521192,0.0633649373082278,0.9999375562212732,0.1528465007393755,0.3227170180759666,0.1886515566365542,1269.4631564617157,2025-10-26T21:28:36.169234
0.5,"Medium [64, 32]","[64, 32]",0.0,0.0460194842240855,0.9999855881533544,0.0842118403519797,0.9999261951023766,0.0637858598409581,0.0464018682947849,0.0601679962930113,1281.5915670394895,2025-10-26T21:49:57.760801
0.5,"Medium [64, 32]","[64, 32]",0.0001,0.042075285196244,0.9999865741507844,0.0646824294667955,0.9999367824272528,0.0806971393272317,0.0476881698523769,0.0382303583826155,1302.863044500351,2025-10-26T22:11:40.623846
0.5,"Medium [64, 32]","[64, 32]",0.001,0.0357146583075,0.9999879602994536,0.0576261936963534,0.9999414852070486,0.0956626143303682,0.0360209012941018,0.10114053295128,1392.4048280715942,2025-10-26T22:34:53.028674
0.5,"Medium [64, 32]","[64, 32]",0.01,0.0723707849609886,0.9999716300048618,0.1130756635284601,0.999887625619691,0.1036841079206855,0.0778170247163959,0.0567153724933795,1407.6130027770996,2025-10-26T22:58:20.641676
0.5,"Medium [64, 32]","[64, 32]",0.1,0.0682298180850845,0.9999768993854636,0.0969227863858036,0.9999146957989736,0.1356980872097193,0.267886295742026,0.1734219625782089,1453.3294548988342,2025-10-26T23:22:33.971131
0.5,"Large [128, 64, 32]","[128, 64, 32]",0.0,0.046663456566485406,0.9999843832204534,0.05569840743051893,0.999937308959482,0.05836367418006984,0.05621204659222021,0.025897833578123912,1395.8081805706024,2025-10-27T00:38:50.772948
0.5,"Large [128, 64, 32]","[128, 64, 32]",0.0001,0.0936291711480622,0.999961142771534,0.1731346338258891,0.9998011706000394,0.1181758632327619,0.18941975785708157,0.07746811594770509,1400.1790843009949,2025-10-27T01:02:10.967655
0.5,"Large [128, 64, 32]","[128, 64, 32]",0.001,0.04232841881855513,0.9999865691984293,0.06792223902043605,0.9999353781785901,0.05886896879430766,0.06458604150919012,0.028703391466939805,1424.8186631202698,2025-10-27T01:25:55.801940
0.5,"Large [128, 64, 32]","[128, 64, 32]",0.01,0.09440654226091365,0.9999674203532177,0.0945884315485896,0.9999178927854298,0.07044882622374761,0.11378159140700443,0.07720823315075503,1424.7568266391754,2025-10-27T01:49:40.558766
0.5,"Large [128, 64, 32]","[128, 64, 32]",0.1,0.07120441145247601,0.9999762151950178,0.09257337269671734,0.9999118506477214,0.18935076972542414,0.3653092278050872,0.21312366991733825,1451.658454656601,2025-10-27T02:13:52.217221
5.0,"Small [32, 16]","[32, 16]",0.0,0.10015382847290284,0.9999232228683134,0.1903397196281412,0.9996295958787716,0.35170391046414134,0.19032576811088747,0.12959532050698983,136.50568079948425,2025-10-27T02:16:08.801009
5.0,"Small [32, 16]","[32, 16]",0.0001,0.11000912790330923,0.9999169734156031,0.15723824205961495,0.9996555540046743,0.29920344698375767,0.184265164700623,0.12652417158001988,138.34792971611023,2025-10-27T02:18:27.148939
5.0,"Small [32, 16]","[32, 16]",0.001,0.12919205233566605,0.9999030646646094,0.1898135130697092,0.9996013775054294,0.29577411674911824,0.19025447231588352,0.12279549561683668,136.98889446258545,2025-10-27T02:20:44.137834
5.0,"Small [32, 16]","[32, 16]",0.01,0.11139145238139585,0.999918575519114,0.18309151547362054,0.9996448791721808,0.37461613107334435,0.3390988528782787,0.23458550221540198,136.00577235221863,2025-10-27T02:23:00.159228
5.0,"Small [32, 16]","[32, 16]",0.1,0.19009269633827172,0.9998549222897949,0.2824475932044254,0.9994114059461073,0.46497261875106927,0.4321794114304465,0.27150882564835294,135.56734085083008,2025-10-27T02:25:15.726569
5.0,"Medium [64, 32]","[64, 32]",0.0,0.11050734468965877,0.9999185799135023,0.15863192985705038,0.9996795157015324,0.3238896142631081,0.20821519030021515,0.12372448690876157,138.722815990448,2025-10-27T02:27:34.449385
5.0,"Medium [64, 32]","[64, 32]",0.0001,0.12173205140823291,0.9999035161540945,0.245620960412698,0.9994995530242007,0.33905621381096174,0.18505758317811127,0.1585040111372686,139.03526210784912,2025-10-27T02:29:53.500269
5.0,"Medium [64, 32]","[64, 32]",0.001,0.14592578711250337,0.9998801108175261,0.2794034375897248,0.9994074837803721,0.3258775418295202,0.43784654852178134,0.24532572321600984,139.567556142807,2025-10-27T02:32:13.067826
